,Country,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Date
80,PK,Keti Bandar,24.1447,67.4497,299.96,56,3.68,19,1636045801
81,AR,Mar del Plata,-38.0023,-57.5575,293.16,99,3.58,75,1636045687
82,CA,Cochrane,51.1834,-114.4687,280.99,39,3.01,83,1636045803
83,MX,Acapulco de Juárez,16.8634,-99.8901,301.31,74,1.1,96,1636045704
84,US,Wilmington,34.2257,-77.9447,289.23,59,5.66,90,1636045804
85,CD,Kampene,-3.6,26.6667,293.78,97,0.82,63,1636045805
86,SE,Karlskrona,56.1616,15.5866,280.4,88,10.3,100,1636045806
87,US,Laurel,39.0993,-76.8483,284.79,50,1.34,1,1636045807
88,KZ,Georgiyevka,43.0369,74.7114,263.17,67,3.0,90,1636045810
89,BR,Arraial do Cabo,-22.9661,-42.0278,298.07,78,4.63,40,1636045811
90,RU,Saskylakh,71.9167,114.0833,256.45,89,5.83,88,1636045811
91,ZA,Kruisfontein,-34.0033,24.7314,291.42,75,2.47,38,1636045812
92,CN,Kumul,42.8,93.45,275.69,33,9.36,100,1636045812
93,RU,Aleksandrov Gay,50.147,48.5704,278.42,27,6.47,100,1636045813
94,NO,Leirvik,59.7798,5.5005,281.83,81,3.09,20,1636045814
95,RU,Verkhoyansk,67.5447,133.385,249.85,99,1.19,99,1636045814
96,AU,Lakes Entrance,-37.8811,147.981,287.91,99,1.59,100,1636045815
97,JP,Katsuura,35.1333,140.3,289.21,71,4.68,22,1636045815
98,US,Broome,42.2506,-75.833,281.05,66,0.89,90,1636045816
99,UY,Chui,-33.6971,-53.4616,296.97,72,3.19,87,1636045816
100,MV,Ugoofaaru,5.6667,73.0,301.02,81,7.67,98,1636045817
101,ZA,Port Elizabeth,-33.918,25.5701,292.65,80,3.16,9,1636045817
102,AU,Codrington,-38.2667,141.9667,278.85,94,3.26,1,1636045818
103,AF,Zabul Province,32.25,67.25,283.42,21,5.68,3,1636045818
104,CA,Norman Wells,65.282,-126.8329,264.71,89,0.97,15,1636045819
105,VE,La Asuncion,11.0333,-63.8628,301.6,65,6.19,21,1636045819
106,CN,Bayan,46.0833,127.4,277.71,86,2.07,14,1636045820
107,RU,Beringovskiy,63.05,179.3167,253.28,89,3.68,29,1636045820
108,GB,Warrington,53.3925,-2.5802,281.21,75,0.45,0,1636045821
109,IN,Port Blair,11.6667,92.75,300.33,74,0.8,40,1636045821
110,CD,Matadi,-5.8167,13.45,301.43,69,1.63,86,1636045822
111,CN,Hangu,39.2489,117.7892,281.17,63,1.72,0,1636045823
112,YT,Koungou,-12.7336,45.2042,299.99,78,4.12,0,1636045824
113,RU,Imeni Poliny Osipenko,52.4201,136.4853,270.17,73,0.95,23,1636045825
114,ZM,Kalabo,-14.97,22.6814,299.67,46,2.25,76,1636045827
115,US,Hilo,19.7297,-155.09,297.19,68,2.57,20,1636045735
116,GB,Coleraine,55.1333,-6.6667,282.1,76,6.39,76,1636045615
117,NZ,Kaitangata,-46.2817,169.8464,278.79,82,1.79,59,1636045829
118,PT,Lagoa,39.05,-27.9833,292.7,85,11.14,99,1636045829
119,GL,Tasiilaq,65.6145,-37.6368,272.24,84,4.15,73,1636045830
120,PT,Ponta do Sol,32.6667,-17.1,294.5,53,3.77,58,1636045580
121,ML,Sokolo,14.7328,-6.1219,309.79,20,2.02,12,1636045830
122,SO,Hobyo,5.3505,48.5268,300.36,70,5.87,31,1636045831
123,TC,Cockburn Town,21.4612,-71.1419,303.13,66,5.14,40,1636045831
124,RE,Saint-Pierre,-21.3393,55.4781,296.97,77,1.03,0,1636045832
125,RU,Slavsk,55.0425,21.677,281.97,89,7.77,100,1636045832
126,NO,Sistranda,63.7256,8.834,280.32,78,7.13,92,1636045833
127,RU,Okhotsk,59.3833,143.3,263.7,82,4.74,96,1636045834
128,VN,Tam Ky,15.5667,108.4833,299.14,93,1.85,100,1636045834
129,CA,Aklavik,68.2191,-135.0107,262.05,95,0.63,83,1636045835
130,AR,Nueve de Julio,-35.4444,-60.8831,299.66,62,3.01,78,1636045835
131,CN,Korla,41.7597,86.1469,277.66,33,11.87,99,1636045836
132,RU,Morki,56.4303,48.9947,275.3,77,6.42,100,1636045836
133,GB,Exeter,50.7236,-3.5275,282.66,79,3.09,20,1636045837
134,GL,Upernavik,72.7868,-56.1549,271.5,70,10.34,96,1636045837
135,US,Palmer,42.1584,-72.3287,283.42,46,0.89,75,1636045837
136,RU,Krasnoarmeysk,51.0239,45.6969,278.8,52,6.55,100,1636045838
137,CL,Lebu,-37.6167,-73.65,286.13,51,7.81,2,1636045839
138,JP,Itoman,26.1247,127.6694,296.16,56,4.12,100,1636045839
139,CN,Zhuhai,22.2769,113.5678,299.03,83,4.12,20,1636045623
140,BR,Tonantins,-2.8731,-67.8022,307.01,49,1.56,60,1636045841
141,US,Makakilo City,21.3469,-158.0858,296.86,84,3.09,75,1636045841
142,PH,Marawi,7.9986,124.2928,292.95,93,1.15,99,1636045590
143,MU,Souillac,-20.5167,57.5167,296.13,71,3.99,0,1636045842
144,ID,Sampit,-2.5333,112.95,297.25,97,0.93,100,1636045842
145,IS,Husavik,66.0449,-17.3389,273.94,93,2.68,59,1636045843
146,TL,Airai,-8.9266,125.4092,290.4,83,0.94,100,1636045844
147,PG,Madang,-5.2246,145.7966,297.14,90,2.21,100,1636045844
148,RU,Egvekinot,66.3167,-179.1667,254.09,81,4.44,98,1636045845
149,SE,Vasterhaninge,59.1167,18.1,280.16,94,1.52,77,1636045845
150,AU,Geraldton,-28.7667,114.6,290.38,72,4.12,40,1636045845
151,ZA,East London,-33.0153,27.9116,293.94,83,3.93,68,1636045846
152,RU,Oktyabr'skoye,43.0645,44.7417,281.23,100,0.0,40,1636045846
153,FI,Lieksa,63.3167,30.0167,280.24,96,4.82,100,1636045847
154,CN,Zhangye,38.9342,100.4517,278.05,27,1.04,12,1636045847
155,AR,San Rafael,-34.6177,-68.3301,286.68,37,4.77,84,1636045848
156,MX,Durango,24.8333,-104.8333,290.39,51,2.3,0,1636045664
157,PH,Sarangani,5.4033,125.4636,301.62,75,4.32,94,1636045849
158,BR,Touros,-5.1989,-35.4608,304.65,57,5.7,30,1636045849
159,BR,Cabedelo,-6.9811,-34.8339,303.52,62,4.85,30,1636045850
160,PH,Basco,20.4487,121.9702,300.27,71,9.79,93,1636045851
161,RU,Kholodnyy,62.7167,147.95,248.61,100,0.47,96,1636045851
162,NA,Windhoek,-22.5594,17.0832,302.65,9,0.45,76,1636045619
163,SA,Turaif,31.6725,38.6637,293.48,43,3.97,0,1636045852
164,PH,Dingle,10.9995,122.6711,297.81,92,2.26,100,1636045853
165,CZ,Veverská Bítýška,49.2759,16.4369,282.49,75,4.64,100,1636045853
166,SS,Malakal,9.5334,31.6605,302.17,48,1.54,32,1636045854
167,ES,Zaragoza,41.6561,-0.8773,285.94,58,3.13,40,1636045311
168,AM,Baghramyan,40.1934,44.3683,289.59,48,2.57,40,1636045855
169,GE,Gardabani,41.4605,45.0928,287.2,85,1.59,94,1636045855
170,CA,Sioux Lookout,50.1001,-91.917,276.63,63,3.77,5,1636045856
171,GF,Sinnamary,5.3833,-52.95,302.81,64,4.49,76,1636045856
172,IL,Kiryat Gat,31.61,34.7642,296.7,73,4.5,0,1636045857
173,RU,Severo-Kuril'sk,50.6789,156.125,275.51,80,1.47,79,1636045585
174,GL,Nanortalik,60.1432,-45.2371,275.88,90,1.47,100,1636045857
175,VN,Ca Mau,9.1769,105.15,297.8,94,2.15,67,1636045858
176,ID,Pangkalanbuun,-2.6833,111.6167,297.56,95,0.88,100,1636045697
177,CN,Tongchuanshi,35.0806,109.0897,284.82,87,1.54,99,1636045858
178,RU,Partizanskoye,55.5006,94.39,259.52,69,7.1,91,1636045859
179,US,Sitka,57.0531,-135.33,276.09,87,1.54,75,1636045788
180,CN,Guangyuan,32.442,105.823,287.29,95,0.93,100,1636045860
181,FO,Vágur,61.4732,-6.8119,281.34,79,8.55,96,1636045860
182,AU,Flinders,-34.5833,150.8552,291.04,92,0.45,100,1636045861
183,AU,Port Keats,-14.25,129.55,302.22,74,2.41,31,1636045862
184,IR,Semnan,35.5729,53.3971,288.39,58,4.09,95,1636045862
185,RU,Megion,61.0296,76.1136,268.16,94,5.61,100,1636045863
186,CA,Tuktoyaktuk,69.4541,-133.0374,267.93,87,7.79,83,1636045864
187,SJ,Longyearbyen,78.2186,15.6401,266.06,73,4.12,40,1636045864
188,NP,Siddharthanagar,27.5,83.45,292.87,74,0.82,0,1636045865
